Date,tweet_id,text,name
Mon Jan 18 17:35:27 +0000 2021,1351221678391615500,  :),APompliano
Mon Jan 18 16:52:48 +0000 2021,1351210944937009154,Help people and ask for nothing in return.,APompliano
Mon Jan 18 16:44:04 +0000 2021,1351208747897659395,  🔥🔥,APompliano
Mon Jan 18 14:19:43 +0000 2021,1351172423052308482,  :),APompliano
Mon Jan 18 14:10:06 +0000 2021,1351170003035443202, :),APompliano
Mon Jan 18 13:10:23 +0000 2021,1351154972570890244,"New episode with  is live!

We discuss Bitcoin, the plight of black Americans in the legacy financial system, why decentralization &amp; pseudonymity are advantageous, &amp; why Isaiah is writing a second book.

This really highlights what is going on.

",APompliano
Mon Jan 18 13:02:47 +0000 2021,1351153058617700367,Good morning to everyone except the people who still have their Christmas decorations up,APompliano
Mon Jan 18 12:26:11 +0000 2021,1351143850866323458, 4am and you’re grinding. This is exactly why you’ll win :),APompliano
Mon Jan 18 04:17:36 +0000 2021,1351020892533436417," The United States is in really bad financial shape. 

The government has taken in more federal income tax every year since…",APompliano
Mon Jan 18 02:46:24 +0000 2021,1350997941583024140,This week is going to be wild.,APompliano
Mon Jan 18 02:44:07 +0000 2021,1350997369240887299, 😂😂,APompliano
Mon Jan 18 00:50:19 +0000 2021,1350968730730303488, You can send in BTC,APompliano
Mon Jan 18 00:47:59 +0000 2021,1350968140000325635, I don't have hours to arrange this regularly but happy to attend for a specific session,APompliano
Mon Jan 18 00:44:51 +0000 2021,1350967355107663872,"Finally there is a way to own actual Bitcoin in your retirement account.

No ETFs. No indirect exposure. Bitcoin with your private keys and everything.

Check out Choice, which is a new self-directed IRA that is also a key sponsor of the podcast 🔥

",APompliano
Mon Jan 18 00:02:53 +0000 2021,1350956792629645318,"Society is realizing that the proponents of decentralized, privacy-centric technologies have been right all along.",APompliano
Sun Jan 17 23:58:28 +0000 2021,1350955681935982598,  There is no competition on that front.  and I just pretend to write on the internet :),APompliano
Sun Jan 17 23:02:18 +0000 2021,1350941544199684096,American exceptionalism prevents our leaders from understanding that excessive devaluation of a currency is catastrophic to our nation.,APompliano
Sun Jan 17 22:28:50 +0000 2021,1350933123895275524,Billion dollar companies are built when founders prove to the market that their non-obvious idea was right.,APompliano
Sun Jan 17 21:45:34 +0000 2021,1350922234836226051,   No problem. I’ll block you so you can be put out of your misery. Hope you’re having a great day! :),APompliano
Sun Jan 17 21:42:59 +0000 2021,1350921585427968004,   Did you get him to dance with you for a TikTok? Maybe a little duet lip sync??,APompliano
Sun Jan 17 21:39:43 +0000 2021,1350920761528229893,  Lol,APompliano
Sun Jan 17 21:38:19 +0000 2021,1350920412746698752," Jeez, “put all your money in the stock market” is obviously bad advice. Maybe I have been blessed not to watch too many TikTok investor videos to understand how bad it is",APompliano
